loan_id,loan_amount,default_prob,interest_rate,loan_grade,loan_purpose,annual_income,employment_length,home_ownership,credit_score,risk_grade,risk_description,expected_loss,monthly_payment
LC000049,21401.30838029839,0.11628819947971741,6.8777937386365275,C,credit_card,32856.31927031534,5,MORTGAGE,786,B,Low-Medium Risk,1119.9238281247892,659.6151386287545
LC000050,10545.63366576581,0.3153699515748227,21.187118268784634,A,credit_card,73102.21710528397,2,MORTGAGE,676,D,Medium-High Risk,1496.5991903242727,398.3213360768995
LC000051,34087.538832936756,0.3325135214049226,13.884793366296908,C,home_improvement,78399.37018136893,9,RENT,667,D,Medium-High Risk,5100.5554080150805,1163.1248301192384
LC000052,28253.984700833436,0.19541622457865768,12.163112219325473,C,credit_card,79713.88816634598,3,RENT,742,B,Low-Medium Risk,2484.5791587930116,940.6392670160227
LC000053,33184.96824692567,0.3293619477471917,15.836574498456777,B,other,31537.642505156404,9,RENT,668,D,Medium-High Risk,4918.439599981267,1164.0093131576768
LC000054,31844.820512829465,0.31714398979664304,7.644358369024005,C,home_improvement,67194.82082551521,4,MORTGAGE,675,D,Medium-High Risk,4544.727044308524,992.6845859959705
LC000055,22936.999364332554,0.39498591208384887,19.619637888343178,B,credit_card,22595.896231961065,0,RENT,632,D,Medium-High Risk,4076.9062264744,847.9822995115777
LC000056,32656.227050693506,0.12557965670158205,16.483831383989326,A,credit_card,23076.00385974261,4,MORTGAGE,780,B,Low-Medium Risk,1845.4310019877537,1155.911842115797
LC000057,7654.775061557585,0.03338608630698276,9.358621743717016,C,debt_consolidation,11212.360599450676,0,OWN,831,A,Low Risk,115.00334138956538,244.69944850602536
LC000058,10879.485872574356,0.008607640586611488,9.388179595842821,B,other,83820.60178535266,8,RENT,845,A,Low Risk,42.1410168712068,347.9336200844383
LC000059,6356.818667316142,0.30109536580071744,9.316475728308136,C,credit_card,23576.602399119427,6,RENT,684,D,Medium-High Risk,861.3038888839723,203.08274258963934
LC000060,14759.90992289793,0.17336822819585995,7.0260429759348115,B,debt_consolidation,34089.1254320818,2,RENT,754,B,Low-Medium Risk,1151.504744248488,455.91893903302946
LC000061,16660.31869068446,0.07507023639282161,16.580372088690325,D,debt_consolidation,23036.56071249248,8,MORTGAGE,808,A,Low Risk,562.812328120242,590.512258610775
LC000062,13140.470953216878,0.1954973470016562,21.126267196593147,B,credit_card,51409.72439766764,1,OWN,742,B,Low-Medium Risk,1156.017244367801,495.9204384656636
LC000063,29862.12527455788,0.1516589647364927,6.314967851772995,A,debt_consolidation,30097.071981444045,6,OWN,766,B,Low-Medium Risk,2037.9865517869055,912.7315026253609
LC000064,15702.599800807679,0.17677074410006685,6.882083609482924,B,debt_consolidation,18912.749583988098,8,OWN,752,B,Low-Medium Risk,1249.0921129924507,484.0045659072493
LC000065,13428.035290621423,0.1708696306287625,16.309864980365024,C,credit_card,45289.53557801329,5,MORTGAGE,756,B,Low-Medium Risk,1032.4995435803116,474.14668599955087
LC000066,21280.882494747453,0.28797638346131404,20.750922336948943,C,debt_consolidation,17732.15589564063,9,OWN,691,C,Medium Risk,2757.776209966151,799.0397317213262
LC000067,9227.72674924288,0.08460188478837098,11.881300030235405,B,credit_card,23891.956599983874,4,RENT,803,A,Low Risk,351.30738388410686,305.9696867840978
LC000068,29065.90942262119,0.18062876777738526,12.293059178539,D,debt_consolidation,12664.4665646154,6,RENT,750,B,Low-Medium Risk,2362.562731501721,969.4775530696492
LC000069,7236.519310393125,0.12497730774068817,16.734236954941967,A,debt_consolidation,17819.006435756783,5,RENT,781,B,Low-Medium Risk,406.98031537189536,257.0455214184613
LC000070,34606.608098015524,0.24387671237865138,10.935832004234646,B,credit_card,39706.27778824594,4,MORTGAGE,715,C,Medium Risk,3797.885614284198,1131.9246299759177
LC000071,28167.34307889972,0.10817089363147903,6.478950589398314,D,credit_card,13598.734024378005,1,RENT,790,B,Low-Medium Risk,1371.0990024310674,863.0311377450071
LC000072,10961.470446025172,0.07084086890229406,19.23411332582873,D,debt_consolidation,17316.70874327185,7,OWN,811,A,Low Risk,349.434040879458,403.1025390168595
LC000073,5165.663513708072,0.22802546913568417,17.261698432946154,C,debt_consolidation,36272.51394836604,6,RENT,724,C,Medium Risk,530.0562807496664,184.84348856889758
LC000074,29463.842853645026,0.2074988595315992,16.453607983001866,D,credit_card,27672.559017029198,5,MORTGAGE,735,C,Medium Risk,2751.171205297321,1042.4717307024957
LC000075,26205.720315428513,0.045782975816222586,19.350314321852814,A,debt_consolidation,98323.49767230332,4,RENT,824,A,Low Risk,539.8991367515804,965.2452393652155
LC000076,26870.215041229618,0.35825645114347066,18.154155076116673,D,debt_consolidation,90848.47365904003,4,RENT,652,D,Medium-High Risk,4331.892546959773,973.5018262665475
LC000077,28138.11040057837,0.23605483581837375,9.70587578720978,B,debt_consolidation,23530.17146145266,8,MORTGAGE,720,C,Medium Risk,2988.961663881511,904.0570558892496
LC000078,7221.339552022711,0.14395374649918852,12.34465884498032,A,home_improvement,47981.40452988763,0,OWN,770,B,Low-Medium Risk,467.7924974653984,241.04229237064607
LC000079,15753.971856328179,0.026996433970215016,8.26998255021525,A,home_improvement,52819.79361093317,8,MORTGAGE,835,A,Low Risk,191.3854774445952,495.63670227333523
LC000080,8476.071785753891,0.3132412751809329,8.337426241521857,B,home_improvement,26937.120834235462,5,RENT,677,D,Medium-High Risk,1194.7749906126044,266.93065729637624
LC000081,30893.102776267806,0.21058533278490957,18.171523434417708,A,home_improvement,17192.512216253952,3,RENT,734,C,Medium Risk,2927.5354480044466,1119.5196526070886
LC000082,23698.943804826737,0.26913343247859656,21.45480192568497,B,credit_card,36092.875683085134,9,MORTGAGE,701,C,Medium Risk,2870.180141539676,898.4028628215153
LC000083,14926.940745579475,0.19997310255797424,23.329186509500502,A,credit_card,33308.80856941591,6,MORTGAGE,740,B,Low-Medium Risk,1343.243993666656,580.3819024702706
LC000084,6906.750508580709,0.041520620106612637,17.310248115889998,A,credit_card,29205.65843532358,8,RENT,827,A,Low Risk,129.04765381706997,247.31225473064362
LC000085,14329.469651469866,0.15056914193695556,9.313823820497225,B,debt_consolidation,45304.35456356629,4,MORTGAGE,767,B,Low-Medium Risk,970.9091774250585,457.7691156474866
LC000086,14755.499660802412,0.27611516449599655,7.9017062180807525,B,credit_card,24950.152078635998,4,OWN,698,C,Medium Risk,1833.3977472283857,461.71493605753585
LC000087,26888.18535014192,0.05169362768803917,20.63131748766164,B,home_improvement,20414.51050432308,7,MORTGAGE,821,A,Low Risk,625.4765292137516,1007.931511947079
LC000088,24126.724140656395,0.15706978756665857,16.417616574479986,C,credit_card,38351.21488509703,6,RENT,763,B,Low-Medium Risk,1705.3107459535229,853.2068325646151
LC000089,31616.382277289795,0.0790294969353361,17.129130378246956,D,debt_consolidation,44045.78967845611,7,RENT,806,A,Low Risk,1124.3820538302698,1129.2431724221628
LC000090,19166.447754858476,0.2883418799150898,20.066317597584767,C,debt_consolidation,20164.472102182615,10,MORTGAGE,691,C,Medium Risk,2486.92030961861,712.9416896394449
LC000091,8587.827378149052,0.17242117552042593,18.65899009918413,B,credit_card,57759.62640541759,9,MORTGAGE,755,B,Low-Medium Risk,666.3254812681306,313.3168823638466
LC000092,26397.34361668985,0.2734867546188187,21.02024855140974,C,credit_card,14984.317469191843,1,OWN,699,C,Medium Risk,3248.695726328834,994.7961561180492
LC000093,27823.551458506925,0.2666728390699405,7.011850298277812,A,home_improvement,27199.211710763077,8,RENT,703,C,Medium Risk,3338.9034572018813,859.2612535187848
LC000094,21838.31592708489,0.45477533561991734,19.45537146143709,A,debt_consolidation,31920.245157312886,2,RENT,599,D,Medium-High Risk,4469.187354801217,805.5425898312377
LC000095,28129.01539863683,0.40856664504925,21.315349631797716,B,home_improvement,26420.305564858747,5,OWN,625,D,Medium-High Risk,5171.659852481884,1064.3224433632793
LC000096,19813.867890931724,0.06446692425104318,11.15043076424966,C,credit_card,27377.307703154685,5,RENT,814,A,Low Risk,574.8026042001925,650.0930370791455
LC000097,20681.984881459823,0.25124728653373063,17.528050931878553,A,home_improvement,92553.04708791545,1,RENT,711,C,Medium Risk,2338.3316617192895,742.8158985475565
LC000098,17826.23055075649,0.48578871845695704,11.654917149065497,A,credit_card,23731.48568809013,6,RENT,582,D,Medium-High Risk,3896.9017623766126,589.1521538370679
LC000099,5762.573802322856,0.23623174587543289,23.243479196684174,A,credit_card,123082.58862116309,8,MORTGAGE,720,C,Medium Risk,612.586291526442,223.7995695782144
LC000100,8236.742809799134,0.4937810197725849,6.601624303839068,D,credit_card,45186.94017392194,9,RENT,578,D,Medium-High Risk,1830.216268902205,252.82912205962202
LC000101,5942.875570602027,0.15543432579497193,16.43627118899319,C,home_improvement,38026.08188476186,10,OWN,764,B,Low-Medium Risk,415.67708591997086,210.21615238594657
LC000102,24092.312337913412,0.34510284656252543,8.997063846891272,A,other,46079.3494160054,0,OWN,660,D,Medium-High Risk,3741.4465056393165,766.096169225152
LC000103,14430.6794322898,0.4395908649639022,18.819963693188857,B,debt_consolidation,128664.54559447907,7,MORTGAGE,608,D,Medium-High Risk,2854.6176841456804,527.6586315531882
LC000104,20257.120734941083,0.0974722286042951,9.166025101535919,B,debt_consolidation,22097.140677665437,1,OWN,796,A,Low Risk,888.5280164134426,645.7374367213873
LC000105,32226.99421778279,0.15858075199243435,10.236898714170437,C,other,20739.41013682773,0,RENT,762,B,Low-Medium Risk,2299.761439880323,1043.4625094598573
LC000106,12478.766874466248,0.457839273670827,14.898674598823646,A,credit_card,24898.60113889978,7,MORTGAGE,598,D,Medium-High Risk,2570.971302950941,431.96161978568347
LC000107,17311.48769106889,0.17559845561547135,22.467029099943804,D,credit_card,36903.86523586567,1,MORTGAGE,753,B,Low-Medium Risk,1367.9417263310727,665.3234842889772
LC000108,27666.534156291462,0.30791185798545934,9.810858698663475,B,credit_card,15323.064219065638,5,MORTGAGE,680,D,Medium-High Risk,3833.484271236844,890.2664446411678
LC000109,11863.944964748673,0.3255044882498315,8.596320380125864,C,debt_consolidation,36723.406853274326,5,MORTGAGE,670,D,Medium-High Risk,1737.795300468607,375.045260533104
LC000110,7309.397294863789,0.10002172645187261,19.661582973372553,A,home_improvement,84691.75791089029,4,MORTGAGE,794,B,Low-Medium Risk,328.99434153971566,270.384659760949
LC000111,13692.543587413042,0.3086691002752189,15.011151582010758,B,home_improvement,39171.459840321826,7,MORTGAGE,680,D,Medium-High Risk,1901.9092993227005,474.73129958945225
LC000112,9836.638617620132,0.25178858738482063,22.412132022871884,B,debt_consolidation,31371.567576973037,2,RENT,711,C,Medium Risk,1114.5390039654965,377.7661818974737
LC000113,32890.92957027719,0.11180290119768094,8.639062028877161,B,debt_consolidation,26660.0048501339,9,OWN,788,B,Low-Medium Risk,1654.7856070705125,1040.4063394868601
LC000114,29243.61138693251,0.1210487149506618,17.62670207441471,A,home_improvement,56911.67890838415,3,OWN,783,B,Low-Medium Risk,1592.9557105071244,1051.7583791564457
LC000115,24002.112695312702,0.435604559269974,10.191824630732672,C,debt_consolidation,24030.607597832004,6,RENT,610,D,Medium-High Risk,4704.9433749854725,776.6441066087589
LC000116,31143.817705631533,0.08934960778969096,8.821687715729507,A,home_improvement,91418.02611850746,6,OWN,800,A,Low Risk,1252.209553682315,987.7825124397848
LC000117,29110.162306973434,0.28489116114117063,18.30172947283087,C,debt_consolidation,95480.7441171528,7,RENT,693,C,Medium Risk,3731.9525732887205,1056.8135243239835
LC000118,10597.101766581076,0.21708938114624507,16.686323158357197,C,credit_card,41289.99093481279,1,MORTGAGE,730,C,Medium Risk,1035.2332190028897,376.163320047963
LC000119,31776.76995469933,0.33969337582277737,19.58689425052196,B,other,36107.01533178769,10,OWN,663,D,Medium-High Risk,4857.46121639503,1174.2606344948983
LC000120,21180.267257469524,0.29580591699564507,11.570326376031282,C,credit_card,60799.078045914684,1,OWN,687,C,Medium Risk,2819.361770238874,699.1492528659647
LC000121,29223.204654921876,0.16761993812812748,14.06348981487942,C,credit_card,62780.46587438685,3,MORTGAGE,757,B,Low-Medium Risk,2204.2762902736254,999.6812447118842
LC000122,31882.738997704797,0.11826603247448099,13.298490173947533,B,credit_card,24270.19017438898,9,RENT,784,B,Low-Medium Risk,1696.7902705550807,1078.8450358745258
LC000123,14540.104249155916,0.40847306589850935,23.713610351397257,C,debt_consolidation,27909.500608082584,8,RENT,625,D,Medium-High Risk,2672.6584325114973,568.2656563856555
LC000124,8301.557735830302,0.3954686248043022,11.260481221308982,A,debt_consolidation,18747.698602370892,9,RENT,632,D,Medium-High Risk,1477.3525296850469,272.8075278437263
LC000125,11838.054876258251,0.22490569003507432,11.306710290241803,B,other,44557.352972479566,8,MORTGAGE,726,C,Medium Risk,1198.1006552780723,389.2844307469277
LC000126,17813.23365878769,0.19251916813941908,12.381867758914932,C,home_improvement,50681.38395252389,3,OWN,744,B,Low-Medium Risk,1543.225016638308,594.9084311391065
LC000127,29540.442977674793,0.07376974398721531,16.162693463225786,B,credit_card,18490.958855026005,8,MORTGAGE,809,A,Low Risk,980.6359120794009,1040.9286402772323
LC000128,30821.9174976903,0.3393807765200407,10.541809396747414,B,debt_consolidation,28923.235499528277,2,RENT,663,D,Medium-High Risk,4707.164832391243,1002.3953775115424
LC000129,5208.5639159357215,0.4365100085193295,22.47521892682693,B,debt_consolidation,18515.676696023584,4,OWN,609,D,Medium-High Risk,1023.1156256933582,200.20019836598027
LC000130,20322.419077326973,0.0794523116420263,10.782340167592743,C,debt_consolidation,23169.686684673372,9,RENT,806,A,Low Risk,726.5984282332395,663.2371370967757
LC000131,17522.33009446337,0.0932755248970277,22.124683168083504,D,credit_card,47834.7924922623,8,MORTGAGE,798,A,Low Risk,735.4820416410251,670.3164879168049
LC000132,11663.234314121906,0.0958840088687625,7.862551145638523,B,home_improvement,25166.24689247921,5,MORTGAGE,797,A,Low Risk,503.24294808617395,364.7442837349448
LC000133,8595.961020010483,0.14187386007763114,17.81812864319374,C,credit_card,31244.137013165862,2,MORTGAGE,771,B,Low-Medium Risk,548.7939769435825,309.98088769442586
LC000134,15128.455142108838,0.19575691817333,22.325739331888386,D,home_improvement,16096.290746716093,9,MORTGAGE,742,B,Low-Medium Risk,1332.674889904212,580.3150416213274
LC000135,33287.29111737557,0.17824200172644317,9.037489891168132,A,debt_consolidation,39874.61180980015,8,OWN,751,B,Low-Medium Risk,2669.937030365343,1059.1078599350228
LC000136,14696.087960622657,0.06847257883556272,23.42988528178659,A,debt_consolidation,35520.43132096889,5,MORTGAGE,812,A,Low Risk,452.8255686561446,572.1794833957873
LC000137,20563.71865230098,0.43238770347540334,14.15190048747921,C,debt_consolidation,25223.222450869464,3,OWN,612,D,Medium-High Risk,4001.174587342232,704.3372387832969
LC000138,26090.568766855336,0.10059103274924713,23.02287195193844,C,credit_card,33040.61532695774,3,MORTGAGE,794,B,Low-Medium Risk,1181.0147657729533,1010.2697024445619
LC000139,15908.88807137882,0.18440042926252,18.182760785340847,D,debt_consolidation,39741.34816842627,7,RENT,748,B,Low-Medium Risk,1320.1226052532372,576.6040203654715
LC000140,34153.46248162882,0.11701418829910513,11.428563657723927,B,other,24162.712679955475,6,RENT,785,B,Low-Medium Risk,1798.397860451282,1125.0848003439025
LC000141,33873.41884826333,0.3622575301897584,9.389445448507916,A,debt_consolidation,17359.040709169134,0,OWN,650,D,Medium-High Risk,5521.905472974789,1083.3158145565217
LC000142,12553.468874760925,0.11505295684596445,11.46723083205179,B,other,89571.02960179663,5,OWN,786,B,Low-Medium Risk,649.941170721762,413.76765446926424
LC000143,19917.455176771564,0.215265640186295,7.67431336672815,A,credit_card,26459.317604762302,7,RENT,731,C,Medium Risk,1929.3946827793047,621.1524739904341
LC000144,14026.34929450309,0.4838470309053095,8.589623394179936,A,other,34600.38016477012,2,MORTGAGE,583,D,Medium-High Risk,3053.9733572637465,443.3600312385796
LC000145,13545.214831324029,0.1546351555847448,7.88388792623666,C,credit_card,60199.53262185158,8,RENT,764,B,Low-Medium Risk,942.5548812917629,423.7326299122234
LC000146,6106.608420635984,0.22744115657442224,13.612983787348039,A,other,212039.44417677785,9,RENT,724,C,Medium Risk,625.0023368714493,207.56338116004488
LC000147,23286.930019396907,0.10088315995270271,20.320410772636556,C,debt_consolidation,19491.948757395956,1,MORTGAGE,794,B,Low-Medium Risk,1057.1665886793955,869.2322234778177
LC000148,20080.370696865844,0.1788621125988224,8.544903975894123,B,home_improvement,45474.80006855301,5,OWN,751,B,Low-Medium Risk,1616.2278860740105,634.3057496016477
LC000149,6544.362537499681,0.27786213867346204,8.345767797102045,B,other,25494.64877982403,0,MORTGAGE,697,C,Medium Risk,818.2937569158659,206.12202712943048
LC000150,13359.393927098343,0.07322719720951389,17.581721091311955,A,debt_consolidation,27739.28303686529,10,OWN,809,A,Low Risk,440.2219381646456,480.17552836732125
LC000151,32247.976578999613,0.15513432126043822,9.549293675425194,B,debt_consolidation,25333.780695988185,1,MORTGAGE,764,B,Low-Medium Risk,2251.2455813725264,1033.741049369854
LC000152,12186.856720009173,0.23781623368252403,7.756980685961849,A,credit_card,20685.17452430503,4,OWN,719,C,Medium Risk,1304.204564511513,380.5270076484425
LC000153,9346.846162736692,0.03938002615792091,9.003274407700397,E,other,35573.431040121424,0,RENT,828,A,Low Risk,165.63557087218516,297.24145353140204
LC000154,19683.58280832689,0.26582320729882297,22.62716512578197,C,credit_card,17374.32214571817,7,RENT,703,C,Medium Risk,2354.5589009586424,758.1263310343123
LC000155,34569.513623318024,0.216060399567081,20.786482549971435,B,credit_card,58302.70581927092,0,RENT,731,C,Medium Risk,3361.096316832184,1298.622043022189
LC000156,12261.658145345013,0.12652294362573274,12.373162122391694,A,debt_consolidation,37328.092340458636,8,MORTGAGE,780,B,Low-Medium Risk,698.1214870266722,409.451358421775
LC000157,25164.066422176358,0.19697873726468074,17.80477381189307,D,debt_consolidation,44856.21749144656,9,RENT,741,B,Low-Medium Risk,2230.553712728183,907.2787363718913
LC000158,27848.588459861527,0.43108919545827873,15.670962126024685,B,home_improvement,28764.74240279735,10,RENT,612,D,Medium-High Risk,5402.351517214685,974.5558502834426
LC000159,12129.126319771989,0.06010650093371311,18.18823674268615,A,debt_consolidation,30224.194738478658,2,RENT,816,A,Low Risk,328.0677041090247,439.64316102598076
LC000160,26846.490458355787,0.1984762596864165,18.28808074432967,B,credit_card,41931.05297694397,1,MORTGAGE,740,B,Low-Medium Risk,2397.7759553466867,974.4490803613597
LC000161,16033.493981577596,0.2915225781006205,17.317212271079875,D,other,20291.851566805293,0,RENT,689,C,Medium Risk,2103.3564756616274,574.1722276689922
LC000162,23969.174917807384,0.10712777360855245,10.789824633671554,A,debt_consolidation,30363.751248706172,8,MORTGAGE,791,B,Low-Medium Risk,1155.4939548803986,782.3365035713665
LC000163,24005.89132282684,0.14928988913030272,6.702115573730726,A,credit_card,23628.130300123095,3,RENT,767,B,Low-Medium Risk,1612.7265843265118,737.9670685390148
LC000164,21073.240522242755,0.3406126986218805,14.20020207582196,D,debt_consolidation,23265.23801207243,0,RENT,662,D,Medium-High Risk,3230.015995345082,722.284193891451
LC000165,7708.693101632249,0.1746784945418953,22.03752992443267,A,credit_card,12645.805772445343,0,RENT,753,B,Low-Medium Risk,605.9443076453766,294.5481711673108
LC000166,30059.07486767714,0.10065065423145471,16.250950653334364,A,debt_consolidation,70945.21899326365,6,MORTGAGE,794,B,Low-Medium Risk,1361.4594979607919,1060.515829210325
LC000167,14623.401949152076,0.07952119012660118,20.983038750634343,B,home_improvement,25763.927236288942,1,MORTGAGE,806,A,Low Risk,523.2916470133047,550.810312678834
LC000168,10595.555311995628,0.2972243631098898,23.849238173302105,D,debt_consolidation,64970.46282890519,6,RENT,686,C,Medium Risk,1417.1657307315797,414.8555959281532
